99,85
20,81
15,45
45,24
47,90
94,74
18,23
30,100
45,100
42,12
51,83
69,3
99,2
2,5
99,39
56,59
89,27
78,62
52,39
85,94
87,83
42,91
49,30
33,17
65,95
87,66
50,94
41,38
24,67
96,78
32,21
62,15
30,77
6,19
66,27
62,91
4,70
80,93
53,51
3,32
79,51
14,11
42,29
36,70
30,57
34,60
54,18
65,99
19,49
83,53
45,32
78,65
32,86
34,86
54,27
33,96
31,29
53,71
59,51
77,72
100,85
33,5
89,3
86,41
19,70
69,88
43,45
39,54
4,28
35,47
18,61
85,94
65,35
44,67
100,95
94,6
38,61
17,47
41,52
77,23
7,43
57,29
69,17
55,91
19,10
47,70
18,9
27,4
47,72
27,46
37,76
36,71
78,37
57,6
96,39
54,14
29,41
54,70
40,18
66,58
